Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Pragmatics, Truth, and Language","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-9457-7","R. M. Martin","1979","http://link.springer.com/book/10.1007/978-94-009-9457-7","Book"
"Galileo’s Logic of Discovery and Proof","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8040-3","William A. Wallace","1992","http://link.springer.com/book/10.1007/978-94-015-8040-3","Book"
"Statistics in Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-0619-8","Roger CookeDomenico Costantini","1990","http://link.springer.com/book/10.1007/978-94-009-0619-8","Book"
"PSA 1970","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-3142-4","Roger C. BuckRobert S. Cohen","1971","http://link.springer.com/book/10.1007/978-94-010-3142-4","Book"
"Québec Studies in the Philosophy of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-1575-6","Mathieu MarionRobert S. Cohen","1995","http://link.springer.com/book/10.1007/978-94-009-1575-6","Book"
"Scientific Philosophy Today","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-8462-2","Joseph AgassiRobert S. Cohen","1982","http://link.springer.com/book/10.1007/978-94-009-8462-2","Book"
"Erich HÜckel (1896–1980)","Boston Studies in the Philosophy of Science","","","","10.1007/978-90-481-3560-8","Andreas Karachalios","2010","http://link.springer.com/book/10.1007/978-90-481-3560-8","Book"
"Greek Studies in the Philosophy and History of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-2015-6","Pantelis Nicolacopoulos","1990","http://link.springer.com/book/10.1007/978-94-009-2015-6","Book"
"Protophysics of Time","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-5189-1","Peter Janich","1985","http://link.springer.com/book/10.1007/978-94-009-5189-1","Book"
"The Elusive Synthesis: Aesthetics and Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-1786-6","Alfred I. Tauber","1997","http://link.springer.com/book/10.1007/978-94-009-1786-6","Book"
"Philosophy of Behavioral Biology","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-007-1951-4","Kathryn S. PlaisanceThomas A.C. Reydon","2012","http://link.springer.com/book/10.1007/978-94-007-1951-4","Book"
"The Very Idea of Modern Science","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-007-5351-8","Joseph Agassi","2013","http://link.springer.com/book/10.1007/978-94-007-5351-8","Book"
"Italian Studies in the Philosophy of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-8937-5","Maria Luisa Dalla Chiara","1981","http://link.springer.com/book/10.1007/978-94-009-8937-5","Book"
"The Concept of Knowledge","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-3263-5","Ioanna KuçuradiRobert S. Cohen","1995","http://link.springer.com/book/10.1007/978-94-017-3263-5","Book"
"Philosophical Problems of Space and Time","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-2622-2","Adolf Grünbaum","1973","http://link.springer.com/book/10.1007/978-94-010-2622-2","Book"
"Newton’s Physics and the Conceptual Structure of the Scientific Revolution","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-3276-3","Zev Bechler","1991","http://link.springer.com/book/10.1007/978-94-011-3276-3","Book"
"Realism and Anti-Realism in the Philosophy of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8638-2","Robert S. CohenRisto HilpinenQiu Renzong","1996","http://link.springer.com/book/10.1007/978-94-015-8638-2","Book"
"Maimonides and the Sciences","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-2128-8","Robert S. CohenHillel Levine","2000","http://link.springer.com/book/10.1007/978-94-017-2128-8","Book"
"The Material Realization of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-007-4107-2","Hans Radder","2012","http://link.springer.com/book/10.1007/978-94-007-4107-2","Book"
"Critical Rationalism, Metaphysics and Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-0471-5","I. C. JarvieNathaniel Laor","1995","http://link.springer.com/book/10.1007/978-94-011-0471-5","Book"
"World Views and Scientific Discipline Formation","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-3164-3","William R. WoodwardRobert S. Cohen","1991","http://link.springer.com/book/10.1007/978-94-011-3164-3","Book"
"Philosophy, History and Social Action","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-2873-2","Sidney HookWilliam L. O’NeillRoger O’Toole","1988","http://link.springer.com/book/10.1007/978-94-009-2873-2","Book"
"Through Measurement to Knowledge","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-2079-8","Kostas GavrogluYorgos Goudaroulis","1991","http://link.springer.com/book/10.1007/978-94-009-2079-8","Book"
"The Development of Arabic Mathematics: Between Arithmetic and Algebra","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-3274-1","Roshdi Rashed","1994","http://link.springer.com/book/10.1007/978-94-017-3274-1","Book"
"Scientific Knowledge","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-8558-2","James H. Fetzer","1981","http://link.springer.com/book/10.1007/978-94-009-8558-2","Book"
"Philosophy and Conceptual History of Science in Taiwan","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-2500-0","Cheng-Hung Lin 林正弘Daiwie Fu 傅大爲","1993","http://link.springer.com/book/10.1007/978-94-011-2500-0","Book"
"The Berlin Group and the Philosophy of Logical Empiricism","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-007-5485-0","Nikolay MilkovVolker Peckhaus","2013","http://link.springer.com/book/10.1007/978-94-007-5485-0","Book"
"Niels Bohr's Complementarity","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-007-1748-0","Makoto Katsumori","2011","http://link.springer.com/book/10.1007/978-94-007-1748-0","Book"
"Progress and Rationality in Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-9866-7","Gerard RadnitzkyGunnar Andersson","1978","http://link.springer.com/book/10.1007/978-94-009-9866-7","Book"
"Integrating History and Philosophy of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-007-1745-9","Seymour MauskopfTad Schmaltz","2012","http://link.springer.com/book/10.1007/978-94-007-1745-9","Book"
"Naturalistic Epistemology","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-3735-2","Abner ShimonyDebra Nails","1987","http://link.springer.com/book/10.1007/978-94-009-3735-2","Book"
"Foundations of Objective Knowledge","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-7704-5","Sergio L. De C. Fernandes","1985","http://link.springer.com/book/10.1007/978-94-015-7704-5","Book"
"Human Nature and Natural Knowledge","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-5349-9","Alan DonaganAnthony N. Perovich Jr.Michael V. Wedin","1986","http://link.springer.com/book/10.1007/978-94-009-5349-9","Book"
"Can that be Right?","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-5334-8","Allan Franklin","1999","http://link.springer.com/book/10.1007/978-94-011-5334-8","Book"
"The Method of Analysis","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-2296-5","Jaakko HinitikkaUnto Remes","1974","http://link.springer.com/book/10.1007/978-94-010-2296-5","Book"
"The Search for a Methodology of Social Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-3461-5","Stephen P. Turner","1986","http://link.springer.com/book/10.1007/978-94-017-3461-5","Book"
"Brazilian Studies in Philosophy and History of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-90-481-9422-3","Décio KrauseAntonio Videira","2011","http://link.springer.com/book/10.1007/978-90-481-9422-3","Book"
"Galileo Engineer","Boston Studies in the Philosophy of Science","","","","10.1007/978-90-481-8645-7","Matteo Valleriani","2010","http://link.springer.com/book/10.1007/978-90-481-8645-7","Book"
"Cognition and Fact","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-4498-5","Robert S. CohenThomas Schnelle","1986","http://link.springer.com/book/10.1007/978-94-009-4498-5","Book"
"Between Experience and Metaphysics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1797-8","Stefan Amsterdamski","1975","http://link.springer.com/book/10.1007/978-94-010-1797-8","Book"
"Is Water H2O?","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-007-3932-1","Hasok Chang","2012","http://link.springer.com/book/10.1007/978-94-007-3932-1","Book"
"Topics in the Philosophy of Biology","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1829-6","Marjorie GreneEverett Mendelsohn","1976","http://link.springer.com/book/10.1007/978-94-010-1829-6","Book"
"Science and Modernity","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-9036-0","Srđan Lelas","2000","http://link.springer.com/book/10.1007/978-94-010-9036-0","Book"
"Time, Causality, and the Quantum Theory","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-8935-1","Robert S. Cohen","1980","http://link.springer.com/book/10.1007/978-94-009-8935-1","Book"
"Feyerabend and Scientific Values","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-1542-3","Robert P. Farrell","2003","http://link.springer.com/book/10.1007/978-94-017-1542-3","Book"
"Paranoia: A Study in Diagnosis","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1506-6","Yehuda FriedJoseph Agassi","1976","http://link.springer.com/book/10.1007/978-94-010-1506-6","Book"
"Dialectics of the Concrete","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1520-2","Karel Kosík","1976","http://link.springer.com/book/10.1007/978-94-010-1520-2","Book"
"Time, Causality, and the Quantum Theory","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-8988-7","Henry MehlbergRobert S. Cohen","1980","http://link.springer.com/book/10.1007/978-94-009-8988-7","Book"
"Physics, Philosophy and Psychoanalysis","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-7055-7","R. S. CohenL. Laudan","1983","http://link.springer.com/book/10.1007/978-94-009-7055-7","Book"
"Issues and Images in the Philosophy of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-5788-9","Dimitri GinevRobert S. Cohen","1997","http://link.springer.com/book/10.1007/978-94-011-5788-9","Book"
"Spanish Studies in the Philosophy of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-0305-0","Gonzalo Munévar","1996","http://link.springer.com/book/10.1007/978-94-009-0305-0","Book"
"Physical Sciences and History of Physics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-7178-3","Robert Sonné CohenMark W. Wartofsky","1984","http://link.springer.com/book/10.1007/978-94-009-7178-3","Book"
"Galileo and the Art of Reasoning","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-9017-3","Maurice A. Finocchiaro","1980","http://link.springer.com/book/10.1007/978-94-009-9017-3","Book"
"Investigations into the Origin of Language and Consciousness","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-6236-1","Trân Duc Thao","1984","http://link.springer.com/book/10.1007/978-94-009-6236-1","Book"
"Language, Logic and Method","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-7702-0","Robert S. CohenMarx W. Wartofsky","1983","http://link.springer.com/book/10.1007/978-94-009-7702-0","Book"
"Scientific Procedures","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-2916-2","Ladislav Tondl","1973","http://link.springer.com/book/10.1007/978-94-010-2916-2","Book"
"Classics in the History of Greek Mathematics","Boston Studies in the Philosophy of Science","","","","10.1007/978-1-4020-2640-9","Jean Christianidis","2004","http://link.springer.com/book/10.1007/978-1-4020-2640-9","Book"
"The Understanding of Nature","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-2224-8","Marjorie Grene","1974","http://link.springer.com/book/10.1007/978-94-010-2224-8","Book"
"Ernst Mach: Physicist and Philosopher","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-1462-4","Robert S. CohenRaymond J. Seeger","1970","http://link.springer.com/book/10.1007/978-94-017-1462-4","Book"
"No Truth Except in the Details","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-0217-9","A. J. KoxDaniel M. Siegel","1995","http://link.springer.com/book/10.1007/978-94-011-0217-9","Book"
"Science in the Context of Application","Boston Studies in the Philosophy of Science","","","","10.1007/978-90-481-9051-5","Martin CarrierAlfred Nordmann","2011","http://link.springer.com/book/10.1007/978-90-481-9051-5","Book"
"The Mechanization of Natural Philosophy","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-007-4345-8","DAN GARBER","2013","http://link.springer.com/book/10.1007/978-94-007-4345-8","Book"
"Heinrich Hertz: Classical Physicist, Modern Philosopher","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8855-3","Davis BairdR. I. G. HughesAlfred Nordmann","1998","http://link.springer.com/book/10.1007/978-94-015-8855-3","Book"
"Mixture and Chemical Combination","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-2292-6","Pierre Duhem","2002","http://link.springer.com/book/10.1007/978-94-017-2292-6","Book"
"Science and Culture","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-2946-8","Joseph Agassi","2003","http://link.springer.com/book/10.1007/978-94-017-2946-8","Book"
"The Natural Background of Meaning","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-9084-6","Arda Denkel","1999","http://link.springer.com/book/10.1007/978-94-015-9084-6","Book"
"Understanding Origins","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-015-8054-0","Francisco J. VarelaJean-Pierre Dupuy","1992","http://link.springer.com/book/10.1007/978-94-015-8054-0","Book"
"Québec Studies in the Philosophy of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-0113-1","Mathieu MarionRobert S. Cohen","1996","http://link.springer.com/book/10.1007/978-94-009-0113-1","Book"
"Beyond Reason","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-3188-9","Gonzalo Munévar","1991","http://link.springer.com/book/10.1007/978-94-011-3188-9","Book"
"Proceedings of the Boston Colloquium for the Philosophy of Science 1964/1966","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-3508-8","Robert S. CohenMarx W. Wartofsky","1967","http://link.springer.com/book/10.1007/978-94-010-3508-8","Book"
"Physical Systems","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-007-2373-3","Ori Belkind","2012","http://link.springer.com/book/10.1007/978-94-007-2373-3","Book"
"The Relativistic Deduction","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-5211-9","Émile Meyerson","1985","http://link.springer.com/book/10.1007/978-94-009-5211-9","Book"
"Scientific Discovery, Logic, and Rationality","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-8986-3","Thomas Nickles","1980","http://link.springer.com/book/10.1007/978-94-009-8986-3","Book"
"Structures of Knowing","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-2641-7","Katherine Arens","1989","http://link.springer.com/book/10.1007/978-94-009-2641-7","Book"
"Style, Politics and the Future of Philosophy","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-2251-8","Allan Janik","1989","http://link.springer.com/book/10.1007/978-94-009-2251-8","Book"
"Approaches to Organic Form","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-3917-2","Frederick Burwick","1987","http://link.springer.com/book/10.1007/978-94-009-3917-2","Book"
"Reason and the Search for Knowledge","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-9731-4","Dudley Shapere","1984","http://link.springer.com/book/10.1007/978-94-010-9731-4","Book"
"Philosophy and Technology II","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-4512-8","Carl MitchamAlois Huning","1986","http://link.springer.com/book/10.1007/978-94-009-4512-8","Book"
"Imre Lakatos and Theories of Scientific Change","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-3025-4","Kostas GavrogluYorgos GoudaroulisPantelis Nicolacopoulos","1989","http://link.springer.com/book/10.1007/978-94-009-3025-4","Book"
"A Portrait of Twenty-five Years","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-5345-1","Robert S. CohenMarx W. Wartofsky","1985","http://link.springer.com/book/10.1007/978-94-009-5345-1","Book"
"The Problem of Rationality in Science and its Philosophy","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-0461-6","Józef Misiek","1995","http://link.springer.com/book/10.1007/978-94-011-0461-6","Book"
"Bulgarian Studies in the Philosophy of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-0961-3","Dimitri Ginev","2003","http://link.springer.com/book/10.1007/978-94-017-0961-3","Book"
"Prelude to Galileo","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-8404-2","William A. Wallace","1981","http://link.springer.com/book/10.1007/978-94-009-8404-2","Book"
"Proceedings of the Boston Colloquium for the Philosophy of Science 1961/1962","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-3263-6","Marx W. Wartofsky","1963","http://link.springer.com/book/10.1007/978-94-010-3263-6","Book"
"The Social Origins of Modern Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-4142-0","Diederick RavenWolfgang KrohnRobert S. Cohen","2003","http://link.springer.com/book/10.1007/978-94-011-4142-0","Book"
"Matter and Mind","Boston Studies in the Philosophy of Science","","","","10.1007/978-90-481-9225-0","Mario Bunge","2010","http://link.springer.com/book/10.1007/978-90-481-9225-0","Book"
"Knowledge and Language","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-2020-5","L. Jonathan Cohen","2002","http://link.springer.com/book/10.1007/978-94-017-2020-5","Book"
"Rescuing Reason","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-0289-9","Robert Nola","2003","http://link.springer.com/book/10.1007/978-94-010-0289-9","Book"
"Methodological and Historical Essays in the Natural and Social Sciences","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-2128-9","Robert S. CohenMarx W. Wartofsky","1974","http://link.springer.com/book/10.1007/978-94-010-2128-9","Book"
"The Development of Quine's Philosophy","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-007-2424-2","Murray Murphey","2012","http://link.springer.com/book/10.1007/978-94-007-2424-2","Book"
"Nietzsche, Epistemology, and Philosophy of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-2428-9","Babette E. Babich","1999","http://link.springer.com/book/10.1007/978-94-017-2428-9","Book"
"Formal Thought and the Sciences of Man","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-7037-3","Gilles-Gaston Granger","1983","http://link.springer.com/book/10.1007/978-94-009-7037-3","Book"
"Models","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-9357-0","Marx W. Wartofsky","1979","http://link.springer.com/book/10.1007/978-94-009-9357-0","Book"
"Reason and Being","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-4590-6","Carolyn R. FawcettRobert S. Cohen","1987","http://link.springer.com/book/10.1007/978-94-009-4590-6","Book"
"Scarcity’s Ways: The Origins of Capital","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8861-4","Michael S. Macrakis","1997","http://link.springer.com/book/10.1007/978-94-015-8861-4","Book"
"Polish Essays in the Philosophy of the Natural Sciences","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-7705-1","Władysław Krajewski","1982","http://link.springer.com/book/10.1007/978-94-009-7705-1","Book"
"Science and Society","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-6456-6","Joseph Agassi","1981","http://link.springer.com/book/10.1007/978-94-011-6456-6","Book"
"Analytical Philosophy of Technology","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-8412-7","Friedrich Rapp","1981","http://link.springer.com/book/10.1007/978-94-009-8412-7","Book"
"Time and Meaning in History","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-3845-8","Nathan Rotenstreich","1987","http://link.springer.com/book/10.1007/978-94-009-3845-8","Book"
"The New Aspects of Time","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-2123-8","Milič Čapek","1991","http://link.springer.com/book/10.1007/978-94-009-2123-8","Book"
"Studies of Mind and Brain","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-7758-7","Stephen Grossberg","1982","http://link.springer.com/book/10.1007/978-94-009-7758-7","Book"
"Transformation in the Writing","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8412-8","Kurt H. Wolff","1995","http://link.springer.com/book/10.1007/978-94-015-8412-8","Book"
"Zygmunt Zawirski: His Life and Work","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-0768-6","Robert S. Cohen","1994","http://link.springer.com/book/10.1007/978-94-011-0768-6","Book"
"For Dirk Struik","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-2115-9","Robert S. CohenJohn J. StachelMarx W. Wartofsky","1974","http://link.springer.com/book/10.1007/978-94-010-2115-9","Book"
"Finalization in Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-7080-9","Wolf Schäfer","1983","http://link.springer.com/book/10.1007/978-94-009-7080-9","Book"
"Artifacts, Representations and Social Practice","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-0902-4","Carol C. GouldRobert S. Cohen","1994","http://link.springer.com/book/10.1007/978-94-011-0902-4","Book"
"The Prism of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-4566-1","Edna Ullmann-Margalit","1986","http://link.springer.com/book/10.1007/978-94-009-4566-1","Book"
"Management of Biological Nitrogen Fixation for the Development of More Productive and Sustainable Agricultural Systems","Developments in Plant and Soil Sciences","","","","10.1007/978-94-011-0055-7","J. K. LadhaM. B. Peoples","1995","http://link.springer.com/book/10.1007/978-94-011-0055-7","Book"
"Defending Copernicus and Galileo","Boston Studies in the Philosophy of Science","","","","10.1007/978-90-481-3201-0","Maurice A. Finocchiaro","2009","http://link.springer.com/book/10.1007/978-90-481-3201-0","Book"
"Between History and Method","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-2706-6","Stefan Amsterdamski","1992","http://link.springer.com/book/10.1007/978-94-011-2706-6","Book"
"Freedom and Rationality","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-2380-5","Fred D’AgostinoI. C. Jarvie","1989","http://link.springer.com/book/10.1007/978-94-009-2380-5","Book"
"Philosophical Foundations of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-2126-5","Raymond J. SeegerRobert S. Cohen","1974","http://link.springer.com/book/10.1007/978-94-010-2126-5","Book"
"Essays in Memory of Imre Lakatos","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1451-9","R. S. CohenP. K. FeyerabendM. W. Wartofsky","1976","http://link.springer.com/book/10.1007/978-94-010-1451-9","Book"
"Time, The Physical Magnitude","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-3811-3","Olivier Costa De Beauregard","1987","http://link.springer.com/book/10.1007/978-94-009-3811-3","Book"
"PSA 1972","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-2140-1","Kenneth F. SchaffnerRobert S. Cohen","1974","http://link.springer.com/book/10.1007/978-94-010-2140-1","Book"
"Boston Studies in the Philosophy of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-3381-7","Robert S. CohenMarx W. Wartofsky","1969","http://link.springer.com/book/10.1007/978-94-010-3381-7","Book"
"Problems of Semantics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-8364-9","Ladislav Tondl","1981","http://link.springer.com/book/10.1007/978-94-009-8364-9","Book"
"Language and Production","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-4574-6","Gyorgy Markus","1986","http://link.springer.com/book/10.1007/978-94-009-4574-6","Book"
"Language in Focus: Foundations, Methods and Systems","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1876-0","Asa Kasher","1976","http://link.springer.com/book/10.1007/978-94-010-1876-0","Book"
"The Historical Development of Energetics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-4471-1","Georg Helm","2000","http://link.springer.com/book/10.1007/978-94-011-4471-1","Book"
"The Structure of Appearance","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1184-6","Nelson Goodman","1977","http://link.springer.com/book/10.1007/978-94-010-1184-6","Book"
"Looking at it from Asia: the Processes that Shaped the Sources of History of  Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-90-481-3676-6","Florence Bretelle-Establet","2010","http://link.springer.com/book/10.1007/978-90-481-3676-6","Book"
"Correspondence, Invariance and Heuristics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-1185-2","Steven FrenchHarmke Kamminga","1993","http://link.springer.com/book/10.1007/978-94-017-1185-2","Book"
"Scientific Discovery: Case Studies","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-9015-9","Thomas Nickles","1980","http://link.springer.com/book/10.1007/978-94-009-9015-9","Book"
"Science and Empires","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-2594-9","Patrick PetitjeanCatherine JamiAnne Marie Moulin","1992","http://link.springer.com/book/10.1007/978-94-011-2594-9","Book"
"The Speculum Astronomiae and Its Enigma","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-3467-7","Paola Zambelli","1992","http://link.springer.com/book/10.1007/978-94-017-3467-7","Book"
"Proceedings of the Boston Colloquium for the Philosophy of Science 1966/1968","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-3378-7","Robert S. CohenMarx W. Wartofsky","1969","http://link.springer.com/book/10.1007/978-94-010-3378-7","Book"
"Historical Pragmatics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8188-2","Robert E. Butts","1993","http://link.springer.com/book/10.1007/978-94-015-8188-2","Book"
"Quantum Reprogramming","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8410-4","Evert Jan Post","1995","http://link.springer.com/book/10.1007/978-94-015-8410-4","Book"
"Austrian Philosophy Past and Present","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-5720-9","Keith LehrerJohann Christian Marek","1997","http://link.springer.com/book/10.1007/978-94-011-5720-9","Book"
"Japanese Studies in the Philosophy of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-011-5175-7","Francis Gen-Ichiro NagasakaRobert S. Cohen","1998","http://link.springer.com/book/10.1007/978-94-011-5175-7","Book"
"Selected Papers of Léon Rosenfeld","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-9349-5","Robert S. CohenJohn J. Stachel","1979","http://link.springer.com/book/10.1007/978-94-009-9349-5","Book"
"The Comparative Reception of Relativity","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-3875-5","Thomas F. Glick","1987","http://link.springer.com/book/10.1007/978-94-009-3875-5","Book"
"The Metaphysics of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8621-4","Craig Dilworth","1996","http://link.springer.com/book/10.1007/978-94-015-8621-4","Book"
"Surrender and Catch","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1526-4","Kurt H. Wolff","1976","http://link.springer.com/book/10.1007/978-94-010-1526-4","Book"
"Descartes’s Mathematical Thought","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-1225-5","Chikara Sasaki","2003","http://link.springer.com/book/10.1007/978-94-017-1225-5","Book"
"Literature and Science as Modes of Expression","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-2297-6","Frederick Amrine","1989","http://link.springer.com/book/10.1007/978-94-009-2297-6","Book"
"Epistemological Writings","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1115-0","Hermann von Helmholtz","1977","http://link.springer.com/book/10.1007/978-94-010-1115-0","Book"
"Critical Rationalism, the Social Sciences and the Humanities","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-017-0441-0","I. C. JarvieNathaniel Laor","1995","http://link.springer.com/book/10.1007/978-94-017-0441-0","Book"
