Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"History of Science, History of Text","Boston Studies in the Philosophy of Science","","","","10.1007/1-4020-2321-9","Karine Chemla","2005","http://link.springer.com/book/10.1007/1-4020-2321-9","Book"
"Rethinking Popper","Boston Studies in The Philosophy of Science","","","","10.1007/978-1-4020-9338-8","Zuzana ParusnikováRobert S. Cohen","2009","http://link.springer.com/book/10.1007/978-1-4020-9338-8","Book"
"The Kaiser Wilhelm Institute for Anthropology, Human Heredity, and Eugenics, 1927–1945","Boston Studies in the Philosophy of Science","","","","10.1007/978-1-4020-6600-9","Hans-Walter Schmuhl","2008","http://link.springer.com/book/10.1007/978-1-4020-6600-9","Book"
"Philosophy Of Chemistry","Boston Studies in the Philosophy of Science","","","","10.1007/1-4020-3261-7","Davis BairdEric ScerriLee McIntyre","2006","http://link.springer.com/book/10.1007/1-4020-3261-7","Book"
"RETHINKING EXPLANATION","BOSTON STUDIES IN THE PHILOSOPHY OF SCIENCE","","","","10.1007/978-1-4020-5581-2","JOHANNES PERSSONPETRI YLIKOSKI","2007","http://link.springer.com/book/10.1007/978-1-4020-5581-2","Book"
"The Genesis of General Relativity","Boston Studies in the Philosophy of Science","","","","10.1007/978-1-4020-4000-9","Michel JanssenJohn D. NortonJürgen RennTilman SauerJohn Stachel","2007","http://link.springer.com/book/10.1007/978-1-4020-4000-9","Book"
"French Studies In The Philosophy Of Science","Boston Studies In The Philosophy Of Science","","","","10.1007/978-1-4020-9368-5","Anastasios BrennerJean Gayon","2009","http://link.springer.com/book/10.1007/978-1-4020-9368-5","Book"
"Plant Breeding and Agrarian Research in Kaiserwilhelm-Institutes 1933–1945","Boston Studies in The Philosophy of Science","","","","10.1007/978-1-4020-6718-1","Susanne Heim","2008","http://link.springer.com/book/10.1007/978-1-4020-6718-1","Book"
"Turkish Studies in the History and Philosophy of Science","Boston Studies in the Philosophy of Science","","","","10.1007/1-4020-3333-8","Gürol IrzikGüven Güzeldere","2005","http://link.springer.com/book/10.1007/1-4020-3333-8","Book"
"Science and its History","Boston Studies in the Philosophy of Science","","","","10.1007/978-1-4020-5632-1","Joseph Agassi","2008","http://link.springer.com/book/10.1007/978-1-4020-5632-1","Book"
"Creativity, Psychology and the History of Science","Boston Studies in the Philosophy of Science","","","","10.1007/1-4020-3509-8","Howard E. Gruber †Katja Bödeker","2005","http://link.springer.com/book/10.1007/1-4020-3509-8","Book"
"Causation, Coherence, and Concepts","Boston Studies in the Philosophy of Science","","","","10.1007/978-1-4020-5474-7","Wolfgang Spohn","2009","http://link.springer.com/book/10.1007/978-1-4020-5474-7","Book"
"Observation and Experiment in the Natural and Social Sciences","Boston Studies in the Philosophy of Science","","","","10.1007/0-306-48123-5","Maria Carla Galavotti","2003","http://link.springer.com/book/10.1007/0-306-48123-5","Book"
"The Metaphysics of Science-1","Boston Studies in The Philosophy of Science","","","","10.1007/978-1-4020-3838-9","Craig Dilworth","2006","http://link.springer.com/book/10.1007/978-1-4020-3838-9","Book"
"Hans Christian Ørsted And The Romantic Legacy In Science","Boston Studies In The Philosophy Of Science","","","","10.1007/978-1-4020-2987-5","Professor Robert Michael BrainProfessor Robert S. CohenProfessor Ole Knudsen","2007","http://link.springer.com/book/10.1007/978-1-4020-2987-5","Book"
"Leibniz's Metaphysics of Time and Space","Boston Studies in the Philosophy of Science","","","","10.1007/978-1-4020-8237-5","Michael J. Futch Ph.D","2008","http://link.springer.com/book/10.1007/978-1-4020-8237-5","Book"
"The English Galileo","Boston Studies in the Philosophy of Science","","","","10.1007/978-1-4020-5499-0","Matthias Schemmel","2008","http://link.springer.com/book/10.1007/978-1-4020-5499-0","Book"
"Analogy in Indian and Western Philosophical Thought","Boston Studies in the Philosophy of Science","","","","10.1007/1-4020-3340-0","Helena GourkoRobert S. Cohen","2006","http://link.springer.com/book/10.1007/1-4020-3340-0","Book"
"THE BEGINNINGS OF PIEZOELECTRICITY","BOSTON STUDIES IN PHILOSOPHY OF SCIENCE","","","","10.1007/978-1-4020-4670-4","SHAUL KATZIR","2006","http://link.springer.com/book/10.1007/978-1-4020-4670-4","Book"
"Interactions","Boston Studies in the Philosophy of Science","","","","10.1007/978-1-4020-5195-1","Vincent F. HendricksKlaus Frovin JørgensenJesper LützenStig Andur Pedersen","2006","http://link.springer.com/book/10.1007/978-1-4020-5195-1","Book"
"Mechanics and Natural Philosophy Before the Scientific Revolution","Boston Studies in the Philosophy of Science","","","","10.1007/978-1-4020-5967-4","Walter Roy LairdSophie Roux","2008","http://link.springer.com/book/10.1007/978-1-4020-5967-4","Book"
