Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Foundations of Probability Theory, Statistical Inference, and Statistical Theories of Science","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-010-1438-0","William L. HarperClifford Alan Hooker","1976","http://link.springer.com/book/10.1007/978-94-010-1438-0","Book"
"Knowledge and Reality","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-015-9040-2","Paolo Parrini","1998","http://link.springer.com/book/10.1007/978-94-015-9040-2","Book"
"Analysis and Interpretation in the Exact Sciences","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-007-2582-9","Melanie FrappierDerek BrownRobert DiSalle","2012","http://link.springer.com/book/10.1007/978-94-007-2582-9","Book"
"Poincaré, Philosopher of Science","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-017-8780-2","María de PazRobert DiSalle","2014","http://link.springer.com/book/10.1007/978-94-017-8780-2","Book"
"Philosophy in Economics","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-8394-6","Joseph C. Pitt","1981","http://link.springer.com/book/10.1007/978-94-009-8394-6","Book"
"Advances in the Statistical Sciences: Foundations of Statistical Inference","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-4788-7","Ian B. MacNeillGary J. UmphreyM. Safiul HaqWilliam L. HarperSerge B. Provost","1987","http://link.springer.com/book/10.1007/978-94-009-4788-7","Book"
"Advances in the Statistical Sciences: Applied Probability, Stochastic Processes, and Sampling Theory","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-4786-3","Ian B. MacNeillGary J. UmphreyDavid R. BellhouseReginald J. Kulperger","1987","http://link.springer.com/book/10.1007/978-94-009-4786-3","Book"
"Biostatistics","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-4794-8","Ian B. MacNeillGary J. UmphreyAllan DonnerV. Krishna Jandhyala","1987","http://link.springer.com/book/10.1007/978-94-009-4794-8","Book"
"Foundations of Probability Theory, Statistical Inference, and Statistical Theories of Science","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-010-1436-6","William Leonard HarperClifford Alan Hooker","1976","http://link.springer.com/book/10.1007/978-94-010-1436-6","Book"
"Existence and Explanation","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-011-3244-2","Wolfgang SpohnBas C. Van FraassenBrian Skyrms","1991","http://link.springer.com/book/10.1007/978-94-011-3244-2","Book"
"Consciousness and Intentionality: Models and Modalities of Attribution","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-015-9193-5","Denis Fisette","1999","http://link.springer.com/book/10.1007/978-94-015-9193-5","Book"
"Advances in the Statistical Sciences: Stochastic Hydrology","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-4792-4","Ian B. MacNeillGary J. UmphreyA. Ian McLeod","1987","http://link.springer.com/book/10.1007/978-94-009-4792-4","Book"
"Early Analytic Philosophy - New Perspectives on the Tradition","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-3-319-24214-9","Sorin Costreie","2016","http://link.springer.com/book/10.1007/978-3-319-24214-9","Book"
"New Perspectives on Galileo","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-9799-8","Robert E. ButtsJoseph C. Pitt","1978","http://link.springer.com/book/10.1007/978-94-009-9799-8","Book"
"The Nature of Irreversibility","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-5430-4","Henry B. HollingerMichael John Zenzen","1985","http://link.springer.com/book/10.1007/978-94-009-5430-4","Book"
"Experience, Reality, and Scientific Explanation","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-015-9191-1","Maria Carla GalavottiAlessandro Pagnini","1999","http://link.springer.com/book/10.1007/978-94-015-9191-1","Book"
"Time Series and Econometric Modelling","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-4790-0","Ian B. MacNeillGary J. UmphreyRichard A. L. CarterA. Ian McLeodAman Ullah","1987","http://link.springer.com/book/10.1007/978-94-009-4790-0","Book"
"Nature Animated","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-6960-5","Michael Ruse","1983","http://link.springer.com/book/10.1007/978-94-009-6960-5","Book"
"Experiencing Nature","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-011-5810-7","Paul H. TheermanKaren Hunger Parshall","1997","http://link.springer.com/book/10.1007/978-94-011-5810-7","Book"
"Historical and Philosophical Dimensions of Logic, Methodology and Philosophy of Science","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-017-1780-9","Robert E. ButtsJaakko Hintikka","1977","http://link.springer.com/book/10.1007/978-94-017-1780-9","Book"
"Foundations and Applications of Decision Theory","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-9792-9","Clifford Ala HookerJames J. LeachEdward Francis McClennen","1978","http://link.springer.com/book/10.1007/978-94-009-9792-9","Book"
"The Modal Interpretation of Quantum Mechanics","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-011-5084-2","Dennis DieksPieter E. Vermaas","1998","http://link.springer.com/book/10.1007/978-94-011-5084-2","Book"
"Foundations and Applications of Decision Theory","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-9789-9","Clifford Alan HookerJames J. LeachEdward Francis >McClennen","1978","http://link.springer.com/book/10.1007/978-94-009-9789-9","Book"
"Knowledge, Cause, and Abstract Objects","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-015-9747-0","Colin Cheyne","2001","http://link.springer.com/book/10.1007/978-94-015-9747-0","Book"
"Logic, Mathematics, Philosophy, Vintage Enthusiasms","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-007-0214-1","David DeVidiMichael HallettPeter Clarke","2011","http://link.springer.com/book/10.1007/978-94-007-0214-1","Book"
"Change and Progress in Modern Science","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-6525-6","Joseph C. Pitt","1985","http://link.springer.com/book/10.1007/978-94-009-6525-6","Book"
"Actuarial Science","The University of Western Ontario Series in Philosophy of Science","","","","10.1007/978-94-009-4796-2","Ian B. MacNeillGary J. UmphreyBeda S. C. ChanSerge B. Provost","1987","http://link.springer.com/book/10.1007/978-94-009-4796-2","Book"
"Eppur si muove: Doing History and Philosophy of Science with Peter Machamer","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-3-319-52768-0","Marcus P. AdamsZvi BienerUljana FeestJacqueline A. Sullivan","2017","http://link.springer.com/book/10.1007/978-3-319-52768-0","Book"
"Constituting Objectivity","The Western Ontario Series In Philosophy of Science","","","","10.1007/978-1-4020-9510-8","Michel BitbolPierre KerszbergJean Petitot","2009","http://link.springer.com/book/10.1007/978-1-4020-9510-8","Book"
"The Arché Papers on the Mathematics of Abstraction","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-1-4020-4265-2","Roy T. Cook","2007","http://link.springer.com/book/10.1007/978-1-4020-4265-2","Book"
"Quantum Reality, Relativistic Causality, and Closing the Epistemic Circle","The Western Ontario Series in Philosophy of Science","","","","10.1007/978-1-4020-9107-0","Wayne C. MyrvoldJoy Christian","2009","http://link.springer.com/book/10.1007/978-1-4020-9107-0","Book"
"Intuition and the Axiomatic Method","The Western Ontario Series in Philosophy of Science","","","","10.1007/1-4020-4040-7","Emily CarsonRenate Huber","2006","http://link.springer.com/book/10.1007/1-4020-4040-7","Book"
"Physical Theory and its Interpretation","The Western Ontario Series in Philosophy of Science","","","","10.1007/1-4020-4876-9","William DemopoulosItamar Pitowsky","2006","http://link.springer.com/book/10.1007/1-4020-4876-9","Book"
"A logical Approach to Philosophy","The Western Ontario Series in Philosophy of Science","","","","10.1007/1-4020-4054-7","David DevidiTim Kenyon","2006","http://link.springer.com/book/10.1007/1-4020-4054-7","Book"
